SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2013-14,2014-03-28,JAZ,PEL,36,71,0.507,30,57,0.526,6,14,0.429,24,32,0.75,11,26,37,26,9,8,14,25,102,0.599,0.549,0.197,0.451,30.6,81.3,54.4,72.2,10.2,17.0,14.1,115.2,107.3
2013-14,2014-03-29,SPU,SPU,32,81,0.395,29,69,0.42,3,12,0.25,13,16,0.813,8,33,41,16,7,2,14,19,80,0.454,0.414,0.148,0.198,17.8,78.6,47.1,50.0,7.7,3.5,13.7,88.1,105.7
2013-14,2014-03-31,KIN,PEL,36,73,0.493,31,59,0.525,5,14,0.357,20,26,0.769,3,27,30,22,11,10,13,26,97,0.574,0.527,0.192,0.356,8.6,64.3,39.0,61.1,11.7,14.5,13.3,103.0,108.3
2013-14,2014-04-02,NUG,NUG,35,74,0.473,33,65,0.508,2,9,0.222,35,45,0.778,8,34,42,21,5,7,17,25,107,0.57,0.486,0.122,0.608,20.0,81.0,51.2,60.0,4.9,10.8,15.3,104.1,133.3
2013-14,2014-04-04,JAZ,JAZ,34,73,0.466,26,54,0.481,8,19,0.421,20,29,0.69,9,27,36,19,6,9,17,27,96,0.56,0.521,0.26,0.397,24.3,81.8,51.4,55.9,6.7,17.0,16.5,106.4,110.9
2013-14,2014-04-06,BLA,BLA,38,90,0.422,34,78,0.436,4,12,0.333,14,18,0.778,13,25,38,21,10,4,10,19,94,0.48,0.444,0.133,0.2,26.5,64.1,43.2,55.3,10.9,6.2,9.3,102.9,109.4
2013-14,2014-04-09,SUN,PEL,34,80,0.425,28,66,0.424,6,14,0.429,14,17,0.824,8,34,42,25,6,5,14,17,88,0.503,0.463,0.175,0.213,20.0,85.0,52.5,73.5,6.7,8.2,13.8,97.6,104.2
2013-14,2014-04-11,THU,THU,35,86,0.407,26,68,0.382,9,18,0.5,15,19,0.789,8,27,35,24,4,4,15,20,94,0.498,0.459,0.209,0.221,17.0,77.1,42.7,68.6,4.1,5.8,13.7,97.0,119.7
2013-14,2014-04-12,ROC,ROC,39,88,0.443,30,66,0.455,9,22,0.409,17,21,0.81,8,31,39,20,7,8,11,26,104,0.535,0.494,0.25,0.239,21.1,83.8,52.0,51.3,7.3,17.0,10.2,108.2,115.5
2013-14,2014-04-14,THU,PEL,35,79,0.443,26,50,0.52,9,29,0.31,22,30,0.733,10,29,39,19,8,5,10,18,101,0.548,0.5,0.367,0.38,23.8,72.5,47.6,54.3,8.9,11.1,9.8,112.2,98.9
2013-14,2014-04-16,ROC,PEL,43,82,0.524,37,70,0.529,6,12,0.5,13,20,0.65,11,31,42,24,10,10,10,18,105,0.578,0.561,0.146,0.244,28.2,70.5,50.6,55.8,11.2,19.6,9.9,117.8,112.2
2014-15,2014-10-28,MAG,PEL,41,101,0.406,37,84,0.44,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,101,0.441,0.426,0.168,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,106.1,88.2
2014-15,2014-11-01,MAV,PEL,38,89,0.427,31,70,0.443,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,104,0.513,0.466,0.213,0.315,29.8,75.0,51.6,63.2,8.2,6.3,11.4,107.2,112.3
2014-15,2014-11-03,GRI,GRI,29,86,0.337,25,62,0.403,4,24,0.167,19,29,0.655,14,35,49,14,5,3,12,30,81,0.41,0.36,0.279,0.337,24.6,79.5,48.5,48.3,5.4,4.8,10.8,86.8,99.7
2014-15,2014-11-04,HOR,PEL,38,81,0.469,33,63,0.524,5,18,0.278,19,19,1.0,11,36,47,26,5,6,13,19,100,0.56,0.5,0.222,0.235,28.2,85.7,58.0,68.4,5.6,10.2,12.7,111.6,101.5
2014-15,2014-11-08,SPU,SPU,40,85,0.471,32,64,0.5,8,21,0.381,12,14,0.857,6,24,30,22,11,9,11,20,100,0.548,0.518,0.247,0.165,15.8,58.5,38.0,55.0,11.9,14.5,10.8,108.1,107.0
2014-15,2014-11-10,CAV,CAV,41,93,0.441,29,66,0.439,12,27,0.444,17,20,0.85,14,26,40,31,8,5,7,20,111,0.545,0.505,0.29,0.215,29.8,68.4,47.1,75.6,8.9,9.3,6.4,122.9,130.7
2014-15,2014-11-12,LAK,PEL,45,82,0.549,37,63,0.587,8,19,0.421,11,18,0.611,8,36,44,27,3,12,14,24,109,0.606,0.598,0.232,0.22,22.9,76.6,53.7,60.0,3.2,19.0,13.5,116.2,108.7
2014-15,2014-11-14,TIM,PEL,56,84,0.667,41,64,0.641,15,20,0.75,12,16,0.75,3,31,34,31,13,3,13,30,139,0.763,0.756,0.238,0.19,10.3,73.8,47.9,55.4,13.0,5.2,12.5,138.5,90.7
2014-15,2014-11-17,BLA,BLA,38,85,0.447,33,66,0.5,5,19,0.263,12,19,0.632,13,28,41,16,11,4,11,23,93,0.498,0.476,0.224,0.224,28.3,73.7,48.8,42.1,12.1,7.0,10.5,102.3,112.2
2014-15,2014-11-18,KIN,KIN,39,79,0.494,30,55,0.545,9,24,0.375,19,24,0.792,4,28,32,21,6,6,6,25,106,0.592,0.551,0.304,0.304,10.3,62.2,38.1,53.8,6.5,8.0,6.3,115.6,109.0
2014-15,2014-11-21,NUG,NUG,31,78,0.397,26,62,0.419,5,16,0.313,30,34,0.882,8,32,40,19,7,3,13,22,97,0.522,0.429,0.205,0.436,19.5,80.0,49.4,61.3,7.4,5.2,12.3,102.9,124.2
2014-15,2014-11-22,JAZ,JAZ,42,93,0.452,38,76,0.5,4,17,0.235,18,22,0.818,18,26,44,19,11,7,10,22,106,0.516,0.473,0.183,0.237,36.7,70.3,51.2,45.2,12.2,12.3,8.9,117.6,104.3
2014-15,2014-11-25,KIN,PEL,33,79,0.418,30,62,0.484,3,17,0.176,20,29,0.69,14,26,40,15,3,6,11,23,89,0.485,0.437,0.215,0.367,31.1,78.8,51.3,45.5,3.5,9.5,10.7,102.4,113.9
2014-15,2014-11-28,HAW,HAW,36,89,0.404,29,65,0.446,7,24,0.292,12,16,0.75,16,26,42,23,8,4,12,19,91,0.474,0.444,0.27,0.18,34.0,70.3,50.0,63.9,8.9,6.8,11.1,101.8,111.9
2014-15,2014-11-29,WIZ,WIZ,30,81,0.37,24,64,0.375,6,17,0.353,14,21,0.667,13,29,42,12,8,1,13,14,80,0.443,0.407,0.21,0.259,27.7,70.7,47.7,40.0,9.5,1.6,12.6,94.5,98.1
2014-15,2014-12-02,THU,PEL,39,88,0.443,34,71,0.479,5,17,0.294,29,45,0.644,16,33,49,23,13,11,13,21,112,0.519,0.472,0.193,0.511,30.8,78.6,52.1,59.0,12.8,18.3,10.8,109.9,102.0
